entry_price,exit_price,pnl,exit_type,exit_time,capital
69286.1,69366.40000000001,0.0011589626202081356,TP1,2026-03-26 14:55:00,10000.579481310104
69286.1,69286.1,0.0,SL,2026-03-26 15:05:00,10000.579481310104
68249.9,68288.09999999999,0.0005597077797915761,TP1,2026-03-26 18:38:00,10000.859351417008
68249.9,68645.0,0.005789019471090886,TP2,2026-03-26 19:39:00,10003.754109892658
68772.0,68814.4,0.0006165299831325856,TP1,2026-03-26 22:50:00,10004.06249061029
68772.0,68772.0,0.0,SL,2026-03-26 22:51:00,10004.06249061029
68673.5,68643.0,-0.00044413055982293025,SL,2026-03-26 23:34:00,10003.618179622845
68667.0,68632.3,-0.000505337352731255,SL,2026-03-27 06:58:00,10003.112659429982
67633.8,67786.8,0.0022621825182083514,TP1,2026-03-27 09:15:00,10004.244102759272
67633.8,67633.8,0.0,SL,2026-03-27 09:57:00,10004.244102759272
67683.2,67642.3,-0.0006042858493687382,SL,2026-03-27 10:13:00,10003.63956044478
67658.3,67692.90000000001,0.000511393280647102,TP1,2026-03-27 10:20:00,10003.895350147443
67658.3,67658.3,0.0,SL,2026-03-27 10:26:00,10003.895350147443
66575.1,66529.6,-0.000683438703058651,SL,2026-03-27 12:41:00,10003.21164522108
66588.0,66634.8,0.0007028293386196149,TP1,2026-03-27 12:46:00,10003.563172752314
66588.0,66588.0,0.0,SL,2026-03-27 12:47:00,10003.563172752314
66607.7,66562.2,-0.000683104205669915,SL,2026-03-27 13:08:00,10002.879825144815
66177.9,66117.5,-0.0009126913969768485,SL,2026-03-27 15:06:00,10001.966870908675
66063.2,66025.8,-0.000566124559512621,SL,2026-03-27 20:55:00,10001.400634999769
66081.5,66128.0,0.000703676520660094,TP1,2026-03-27 21:12:00,10001.752522539799
66081.5,66081.5,0.0,SL,2026-03-27 21:36:00,10001.752522539799
66111.9,66089.0,-0.00034638242131891807,SL,2026-03-27 21:47:00,10001.406079414179
66064.5,66013.6,-0.0007704591724752958,SL,2026-03-27 21:59:00,10000.635511909026
66164.2,66134.2,-0.0004534174069965329,SL,2026-03-27 23:34:00,10000.182065686813
66078.7,66106.7,0.0004237371497925958,TP1,2026-03-28 01:59:00,10000.393938119108
66078.7,66078.7,0.0,SL,2026-03-28 02:17:00,10000.393938119108
66105.0,66080.2,-0.0003751607291430741,SL,2026-03-28 03:09:00,10000.018762610955
66179.3,66155.1,-0.0003656732543257044,SL,2026-03-28 04:01:00,9999.653088670531
66143.2,66228.2,0.0012850905308482202,TP1,2026-03-28 11:07:00,10000.295611645332
66143.2,66565.0,0.006377072775432742,TP2,2026-03-28 13:32:00,10003.484242289898
67090.9,67054.9,-0.0005365854385617126,SL,2026-03-28 15:27:00,10002.94746989197
66590.2,66625.7,0.0005331114788662596,TP1,2026-03-28 22:17:00,10003.214104197903
66590.2,66590.2,0.0,SL,2026-03-28 23:08:00,10003.214104197903
66569.0,66539.5,-0.000443149213597921,SL,2026-03-29 01:23:00,10002.770812551531
66574.7,66608.09999999999,0.0005016920842301081,TP1,2026-03-29 02:14:00,10003.021728098383
66574.7,66574.7,0.0,SL,2026-03-29 02:16:00,10003.021728098383
66621.6,66636.6,0.00022515220288915304,TP1,2026-03-29 02:27:00,10003.134338217265
66621.6,66621.6,0.0,SL,2026-03-29 02:29:00,10003.134338217265
66621.1,66668.20000000001,0.0007069832230330303,TP1,2026-03-29 05:19:00,10003.487940625007
66621.1,66621.1,0.0,SL,2026-03-29 05:25:00,10003.487940625007
66581.9,66613.09999999999,0.00046859581958455813,TP1,2026-03-29 05:37:00,10003.722320256518
66581.9,66581.9,0.0,SL,2026-03-29 07:02:00,10003.722320256518
66595.6,66614.1,0.00027779613067529987,TP1,2026-03-29 08:23:00,10003.861270024165
66595.6,66595.6,0.0,SL,2026-03-29 09:07:00,10003.861270024165
66633.2,66666.29999999999,0.0004967493681826968,TP1,2026-03-29 15:08:00,10004.109740612428
66633.2,66633.2,0.0,SL,2026-03-29 15:09:00,10004.109740612428
66572.4,66545.6,-0.00040256923289513913,SL,2026-03-29 16:35:00,10003.70700593402
66645.8,66664.90000000001,0.0002865897025769939,TP1,2026-03-29 20:37:00,10003.850353904796
66645.8,66645.8,0.0,SL,2026-03-29 20:38:00,10003.850353904796
66586.5,66552.2,-0.0005151194311159606,SL,2026-03-29 21:08:00,10003.33503613447
66690.5,66743.9,0.0008007137448361337,TP1,2026-03-30 02:14:00,10003.73552652735
66690.5,66690.5,0.0,SL,2026-03-30 02:20:00,10003.73552652735
66636.4,66684.29999999999,0.0007188263471615241,TP1,2026-03-30 02:42:00,10004.095073960676
66636.4,67081.0,0.006672029101212038,TP2,2026-03-30 02:45:00,10007.432454633914
67146.1,67090.0,-0.00083549156242888,SL,2026-03-30 03:47:00,10006.596342096173
67143.6,67174.30000000002,0.00045722898384971373,TP1,2026-03-30 04:01:00,10006.825107390036
67143.6,67601.0,0.006812265055790785,TP2,2026-03-30 04:29:00,10010.233564639959
67633.9,67673.49999999999,0.0005855051978370503,TP1,2026-03-30 05:27:00,10010.526616829142
67633.9,67633.9,0.0,SL,2026-03-30 05:28:00,10010.526616829142
67641.5,67602.1,-0.0005824826474870336,SL,2026-03-30 09:00:00,10009.943521024492
67605.6,67641.20000000001,0.0005265835966252177,TP1,2026-03-30 11:59:00,10010.207074627559
67605.6,68121.0,0.007623628811814319,TP2,2026-03-30 13:21:00,10014.022779780877
67727.3,67698.2,-0.00042966425651112355,SL,2026-03-30 15:47:00,10013.59251301564
66591.9,66659.49999999999,0.001015138477802725,TP1,2026-03-30 18:28:00,10014.10077216869
66591.9,66591.9,0.0,SL,2026-03-30 18:31:00,10014.10077216869
66577.7,66536.3,-0.0006218298319105974,SL,2026-03-30 18:57:00,10013.4780655087
66618.4,66585.7,-0.0004908553792945657,SL,2026-03-30 20:33:00,10012.98654855131
66611.6,66569.5,-0.0006320220502135637,SL,2026-03-30 21:04:00,10012.353705722591
66570.8,66606.1,0.0005302625175002089,TP1,2026-03-30 21:08:00,10012.619164516696
66570.8,66570.8,0.0,SL,2026-03-30 23:02:00,10012.619164516696
66672.2,66656.0,-0.00024297983267384442,SL,2026-03-30 23:31:00,10012.375878063775
67169.0,67198.0,0.00043174678795277583,TP1,2026-03-31 01:14:00,10012.592018620031
67169.0,67601.0,0.0064315383584689365,TP2,2026-03-31 01:23:00,10015.811837101804
68167.9,68067.4,-0.0014743009539680701,SL,2026-03-31 01:41:00,10014.335205007184
